iteration,n_labeled,rho,rho_pval,alpha_i,alpha_l
0,50,0.0,,0.5,0.5
1,65,0.6412741840922416,3.7990826079474946e-11,0.3076177447723275,0.5
2,80,-0.6408013297174351,2.302232921088944e-09,0.6922403989152305,0.6922403989152305
3,95,-0.44898989898989905,0.0005852687231531406,0.6346969696969698,0.6346969696969698
4,110,0.00150093808630394,0.9926661521379296,0.4995497185741088,0.5
5,125,-0.48615384615384616,0.013738670501970229,0.6458461538461538,0.6458461538461538
