iteration,n_labeled,rho,rho_pval,alpha_i,alpha_l
0,50,0.0,,0.5,0.5
1,65,-0.4441078757084229,2.066820260107245e-05,0.6332323627125269,0.6332323627125269
2,80,0.16259294899833784,0.17868195628147648,0.45122211530049866,0.5
3,95,0.1345598845598846,0.3273500538851287,0.4596320346320346,0.5
4,110,0.08930581613508444,0.5836876858174849,0.4732082551594747,0.5
5,125,0.7661538461538462,8.017661822014099e-06,0.2701538461538462,0.5
