iteration,A_random,C_uncertainty,E_diversity,G_hybrid_weighted,H_hybrid_twostage
0,13.67606512705485,13.676066017150879,13.676065889994304,13.676064936319987,13.676065317789714
1,12.127179845174153,12.216016070048015,13.124300702412922,12.216013272603353,11.475579770406087
2,11.998363939921061,12.15775655110677,12.736098289489746,11.392552248636882,11.491271336873373
3,11.87328707377116,11.168341827392577,11.418753051757813,11.984918022155762,11.937076314290364
4,12.2719908396403,11.4974640528361,11.228328323364257,11.057467651367187,10.924213218688966
5,11.768051020304362,11.940974044799805,11.175615056355793,12.419420750935872,11.179872385660808
6,11.85433578491211,13.732438786824543,11.01040833791097,11.356854120890299,11.181752522786459
7,11.472147242228191,11.704872067769369,11.69425760904948,12.126939455668131,10.840941874186198
8,11.014684232076009,11.170185216267903,10.919289716084798,10.725370724995932,11.573709233601887
