iteration,A_random,C_uncertainty,E_diversity,G_hybrid_weighted,H_hybrid_twostage
0,0.34252563714981077,0.34252644115024145,0.34252623054716325,0.34252567688624064,0.3425261576970418
1,0.33837271796332463,0.3534546507729424,0.3567316876517402,0.35345479647318523,0.3381747523943583
2,0.34274425771501327,0.3503056976530287,0.348333199818929,0.34456308947669134,0.34530865483813816
3,0.3518932104110718,0.34770357343885633,0.3591298196050856,0.3514470828904046,0.3597440997759501
4,0.34270539151297674,0.35335191488265993,0.35431804656982424,0.35836383236779107,0.33126167721218536
5,0.3568637490272522,0.3431312746471829,0.3498813483450148,0.35165487262937756,0.3538470639122857
6,0.34562156730228,0.3473407665888468,0.35971028672324284,0.3643178423245748,0.36866543292999265
7,0.33549134996202257,0.36633368995454574,0.3572739044825236,0.34346933232413396,0.3371461656358507
8,0.3554610742463006,0.36674727333916557,0.35274808009465536,0.3356067432297601,0.3446891188621521
