iteration,A_random,C_uncertainty,E_diversity,G_hybrid_weighted,H_hybrid_twostage
0,0.34397411213980783,0.34397392405403987,0.34397383266025117,0.3439739293522305,0.34397398233413695
1,0.33742373916837903,0.3372171137068007,0.33995897505018446,0.337217120329539,0.3392538732952542
2,0.34475590387980143,0.3455822851922777,0.34120093981424965,0.3491448230213589,0.33489853143692017
3,0.3367303835021125,0.33879909647835627,0.3449118137359619,0.3447030504544576,0.34074203438229034
4,0.3365984757741292,0.3426402767499288,0.3356830371750726,0.3374714626206292,0.34378329250547623
5,0.3443328168657091,0.3426733348104689,0.3373952415254381,0.3403977844450209,0.33669473859998916
6,0.3399538040161133,0.34391494856940374,0.345508779419793,0.34734992186228436,0.3396188020706177
7,0.34127575953801476,0.336424446105957,0.3369569725460476,0.340717531575097,0.33900859355926516
8,0.3323408789104886,0.33927302228079903,0.3384841177198622,0.3404308358828227,0.3382679091559516
