system,rand_mae,best_mae,best_strategy,improvement_pct,convergence_iter,strategy_variance,n_strategies_better,n_strategies,rho_mean,rho_std,rho_anti_frac
FeNiCrCoCu_HEA,0.2283478630913628,0.1297664218478732,J_aud_batch,43.17160664825088,0,0.4084005722167659,3,8,-0.03359701592585463,0.1548304806055348,0.0
MgO_surface,0.8705254448784723,1.2141953362358942,C_uncertainty,-39.478442977091746,0,32.56029561628855,0,8,0.0,0.0,0.0
Pt_CH_activation,2.840121290418837,1.494657050238715,G_hybrid_weighted,47.37347819330998,0,0.21088769488856174,7,8,0.0,0.0,0.0
Zr_oxide_amorphous,1.5023586697048612,0.3375725640190972,C_uncertainty,77.53049449334137,0,31.534197008879822,1,8,0.0,0.0,0.0
liquid_water,1.173730977376302,0.2047295888264974,C_uncertainty,82.55736682658411,0,0.20216969135126422,4,8,0.11808410335645501,0.38809244951219823,0.16666666666666666
zeolite,0.7677810668945313,0.186004638671875,C_uncertainty,75.77373984693138,0,0.10787049581924091,5,8,-0.1555283254471058,0.4721576659533961,0.5
