A_random,B_gmm_uncertainty,C_ensemble_qbc,D_mc_dropout,E_diversity,F_latent_clustering,G_hybrid_weighted,H_hybrid_twostage
1.605039808485243,1.6050416734483508,1.6050443861219619,1.6050381130642362,1.6050401475694445,1.6050357394748265,1.605037095811632,1.605039808485243
2.239544169108073,1.6298202514648437,1.7685850355360242,1.7685809665256076,2.050972832573785,1.7873986138237847,1.7685867309570313,1.9626091851128473
1.6524965074327258,1.7560251871744792,2.251176961263021,2.2511720445421006,1.836979505750868,1.683964369032118,1.8159327189127603,1.6652698092990452
1.9470026652018229,2.007987297905816,1.8081985473632813,1.8081990559895833,1.5566747029622396,1.4991919623480903,1.7472919040256076,2.013491651746962
1.529412333170573,2.9759151882595485,1.6116024441189236,1.6116104125976562,1.953877936469184,2.1594390869140625,1.7639026217990452,1.7170611911349827
1.6601762559678819,1.729603237575955,1.8559017605251735,1.8558763292100695,1.614515855577257,1.5158725314670138,1.913874986436632,1.756908162434896
1.6307357788085937,2.7003748575846354,1.7268907335069446,1.7269002278645833,1.773960706922743,1.6809722900390625,1.6366836547851562,1.6535486857096353
1.8142344156901042,1.6180877685546875,1.548734368218316,1.5487191094292534,1.442636956108941,1.5818756103515625,1.5596832275390624,1.5960639105902779
2.1134986029730904,1.7875556098090277,1.514204576280382,1.5141966078016493,1.8214692857530381,1.794596184624566,2.295454406738281,1.604969448513455
