n_labeled,A_random,C_uncertainty,E_diversity,G_hybrid_weighted,H_hybrid_twostage
50,0.3967322548230489,0.3967322548230489,0.3967322548230489,0.3967322548230489,0.3967322548230489
65,0.45494769679175484,0.42448201179504397,0.45078068574269614,0.42448201179504397,0.38489788903130423
80,0.37364747524261477,0.3994410673777262,0.4879493448469374,0.515149097972446,0.41948693858252634
95,0.39045184718237985,0.42266918818155924,0.3949492282337613,0.37990775770611235,0.4529078139199151
110,0.4166000525156657,0.41336705949571395,0.4218211346202426,0.4312712126308017,0.35474341842863294
125,0.44026241699854535,0.37835627529356214,0.3658839186032613,0.38744587898254396,0.3845165901713901
140,0.4022874289088779,0.4665745735168457,0.35136314498053656,0.3839829789267646,0.3544703589545356
155,0.33978297710418703,0.3860717879401313,0.5542103423012628,0.3826334993044535,0.37311196459664236
170,0.394996800687578,0.37776873509089154,0.3723665277163188,0.3697640988561842,0.4112360954284668
