iteration,A_random,C_uncertainty,E_diversity,G_hybrid_weighted,H_hybrid_twostage
0,14.25568250020345,14.255681610107422,14.255680465698243,14.255684280395508,14.255681228637695
1,13.917890040079753,17.508555857340493,11.923087247212727,17.508557256062826,12.98913180033366
2,12.360806083679199,17.106526947021486,11.580517768859863,13.80571886698405,12.147549629211426
3,13.049101384480794,13.158961741129557,11.935644658406575,11.601514561971028,13.399203872680664
4,12.072902806599934,11.638567225138347,12.656469217936198,12.113077545166016,14.731046676635742
5,12.882138888041178,14.602834192911784,13.814702733357747,12.451040776570638,13.528950500488282
6,13.334978612263997,12.986127026875813,13.422826385498047,11.928049468994141,11.889917246500652
7,13.137886746724446,11.912084070841471,13.035705057779948,11.148815790812174,11.786660130818685
8,13.020302708943685,12.409938303629557,12.727032407124836,11.501455879211425,12.706310780843099
